PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846771 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,533919,0,0,PrediCache,16,8,tpcc,64,0,0
1,559151,0,0,PrediCache,16,8,tpcc,64,0,0
2,558457,0,0,PrediCache,16,8,tpcc,64,0,0
3,555963,0,0,PrediCache,16,8,tpcc,64,0,0
4,553055,0,0,PrediCache,16,8,tpcc,64,0,0
5,556773,0,0,PrediCache,16,8,tpcc,64,0,0
6,556455,0,0,PrediCache,16,8,tpcc,64,0,0
7,556339,0,0,PrediCache,16,8,tpcc,64,0,0
8,553824,0,0,PrediCache,16,8,tpcc,64,0,0
9,561304,0,0,PrediCache,16,8,tpcc,64,0,0
10,553694,0,0,PrediCache,16,8,tpcc,64,0,0
11,548803,0,0,PrediCache,16,8,tpcc,64,0,0
12,555517,0,0,PrediCache,16,8,tpcc,64,0,0
13,562358,0,0,PrediCache,16,8,tpcc,64,0,0
14,541709,0,0,PrediCache,16,8,tpcc,64,0,0
15,530285,0,0,PrediCache,16,8,tpcc,64,0,0
16,533307,0,0,PrediCache,16,8,tpcc,64,0,0
17,545491,0,0,PrediCache,16,8,tpcc,64,0,0
18,549659,0,0,PrediCache,16,8,tpcc,64,0,0
19,550114,0,0,PrediCache,16,8,tpcc,64,0,0
20,544352,0,0,PrediCache,16,8,tpcc,64,0,0
21,534341,0,0,PrediCache,16,8,tpcc,64,0,0
22,535583,0,0,PrediCache,16,8,tpcc,64,0,0
23,539754,0,0,PrediCache,16,8,tpcc,64,0,0
24,541619,0,0,PrediCache,16,8,tpcc,64,0,0
space: 7.98297 GB 
cbp_class,log_chance
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
